2023/06/01 02:40:30 [emerg] 1#1: SSL_CTX_use_PrivateKey("/etc/ssl/privkey.pem") failed (SSL: error:0B080074:x509 certificate routines:X509_check_private_key:key values mismatch)
2023/06/01 02:40:33 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:40:35 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:40:37 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:40:40 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:40:42 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:40:46 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:40:54 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:41:08 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:41:34 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
2023/06/01 02:42:26 [emerg] 1#1: host not found in upstream "cicd-jenkins:8080" in /etc/nginx/conf.d/default.conf:3
